name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
Laxmi Narasimha Nagar,0032-08-04 00:00:00.68-04:56:02,02:55.2,0106000020E61000000100000001030000000100000008000000000000A646A5534065A5CE799B7C31400000002036A55340459ADF01BD7C3140000000942BA55340E0CC2A8E707C3140000000C635A55340D744695D507C3140000000DE4AA55340AA61D438387C3140000000E651A55340E7CC2A8E707C31400000002A4AA55340064B5A9A787C3140000000A646A5534065A5CE799B7C3140,1,2,371,94,86,4,16,10,1,67,296,75,1,3,52,0,34,4,56,38,0,4735,4604,78032,5,13,3,73,10,
Subhodaya Nagar,0007-09-13 00:00:00.68-04:56:02,03:02.0,0106000020E6100000010000000103000000010000000D000000000000C635A5534047027EB4FA7C3140000000443FA5534015F3F750F17C31400000002E37A55340B5B3F507C17C3140000000E444A55340C07CE57F9F7C31400000007E50A5534044C56FE3A87C31400000007856A553404CA3F0C8CF7C31400000002A4AA553401A6C31DBDB7C31400000000254A55340C0F1BBC6067D3140000000924BA5534067AC887B0D7D31400000009845A5534030EBE24AED7C31400000009845A553401C563CB2317D3140000000FE39A55340A461D21B3F7D3140000000C635A5534047027EB4FA7C3140,1,2,1007,241,225,14,71,47,10,113,935,72,9,15,120,0,96,1,29,211,1,5753,5756,18029,32,46,47,116,15,
Sairam Nagar,0013-12-02 00:00:00.68-04:56:02,03:12.9,0106000020E610000001000000010300000001000000090000000000001442A55340A0E88752468031400000004052A5534058B02FF5408031400000004C73A55340B382F54BB48031400000000C95A55340A10746CDD180314000000040ACA5534043319EB286803140000000B05AA55340730744CEED7F3140000000F425A553408C60AA2E4A7F31400000006014A5534055470D83827F31400000001442A55340A0E8875246803140,1,1,2103,555,509,23,146,167,25,217,2019,84,277,35,3,1,238,1,217,273,65,3636,3378,28814,14,39,23,479,57,
Saibaba Nagar,0021-08-10 00:00:00.68-04:56:02,03:28.1,0106000020E6100000010000000103000000010000000C0000000000005240A5534095D1DBA343803140000000583AA55340CF36742226803140000000BE2EA553404E65F1F77B803140000000663BA55340A089A0EEAE803140000000EE2BA5534019D3350FFE8031400000006875A55340FB191D26808131400000003A85A5534036422D270E813140000000508DA553405C5D7A901B813140000000B294A553406D05F07BD48031400000009872A553403B0B4B9DB1803140000000E651A5534095D1DBA3438031400000005240A5534095D1DBA343803140,1,1,5039,1189,741,407,48,152,22,967,5036,3,734,23,8,8,407,9,366,813,10,5090,5242,48617,20,25,21,1123,84,
New Indira Nagar,0021-07-04 00:00:00.68-04:56:02,03:34.0,0106000020E61000000100000001030000000100000009000000000000FC2CA55340C414827461823140000000743CA55340F04D29963E823140000000C842A5534031C839175C823140000000A853A5534080AC240919823140000000645BA553405F403B8A368231400000000C68A553406A56E0B06A813140000000942BA553406618DDC304813140000000001AA55340011749EA57813140000000FC2CA55340C414827461823140,1,1,812,205,123,24,27,81,2,95,738,74,164,23,0,0,16,2,54,127,24,3677,3441,60498,17,15,13,160,95,
Bharat Nagar,0028-09-12 00:00:00.68-04:56:02,03:51.8,0106000020E6100000010000000103000000010000000A000000000000E823A4534054605A34D1663140000000CC21A453406415A6081F673140000000B439A45340C75B3A9B44673140000000B439A45340EE4DB3CF646731400000008C43A45340929995C25C6731400000004044A45340EAECDB732C6731400000008C43A453401E7C1525FC6631400000008C43A45340F930B9ACE66631400000002442A4534054605A34D1663140000000E823A4534054605A34D1663140,2,5,1971,530,515,17,82,96,5,347,1859,112,201,8,13,0,306,2,188,279,63,4952,4764,5313,19,18,47,446,18,
Indira Nagar,0027-05-04 00:00:00.68-04:56:02,03:59.6,0106000020E6100000010000000103000000010000000B000000000000582CA453407609956AF8673140000000A42BA453405580041CC8673140000000B826A45340CCAFAE45AD6731400000008022A453409B155E1E956731400000006033A453407DEE546F92673140000000D03BA4534045BD4BC08F6731400000001047A45340A43267CD97673140000000F444A4534047D8C852B56731400000004044A453400E3A3EE5DA673140000000843CA453403F2B6EFFEA673140000000582CA453407609956AF8673140,2,5,868,204,199,15,24,48,53,79,635,233,114,0,0,0,90,0,189,14,1,4021,3460,7066,5,6,11,182,40,
Gandhi Nagar,0029-10-10 00:00:00.68-04:56:02,04:59.8,0106000020E61000000100000001030000000100000005000000BA7DFBDF76A453407B39E44D1B683140650FFE8F5DA4534007B13385CE663140DDBEFD6F9BA453402A9FCCDCCF6631401C7CFE079AA45340974B9119FB673140BA7DFBDF76A453407B39E44D1B683140,2,5,1967,495,471,79,79,45,7,364,1760,207,197,6,1,6,282,3,352,101,42,5357,5896,65881,7,18,29,441,55,
Swaroop Nagar,0031-12-15 00:00:00.68-04:56:02,05:04.2,0106000020E610000001000000010300000001000000080000005071FCE98AA45340AC61D49DB5683140D0EBFD2D83A4534023BA82EBB068314010A9FEA178A45340AAFD0F00896831405066FFED77A45340CC5975A95368314038F1FE0D94A45340D7E24B8F43683140C049FD5BA0A453409B3D996127683140E891FDFBA5A453404E19C63B796831405071FCE98AA45340AC61D49DB5683140,2,5,152,41,31,0,0,1,5,35,152,0,13,1,0,0,27,0,2,39,0,9483,7520,1341,6,4,8,23,19,
Shanthi Nagar,0031-09-13 00:00:00.68-04:56:02,05:12.0,0106000020E6100000010000000103000000010000001000000060FD02EE77A453403E23111AC1663140280805427EA45340BD3188386B6631405D40FDA178A45340DBABA8245F66314003C004B079A453407B6F46AC49663140244BFFF57EA45340121E86B95166314073A302068DA45340A9D81C10B6653140FBF003C294A45340F4AFBC16BA653140FEFB00629AA45340A0C3BE95D36531401C7CFE079AA453409D0357BB1E6631403EB901FA98A453405881AD5448663140FB3EFB159BA453409A43EFE069663140FEFB00629AA45340D791B8017E6631403EB901FA98A45340A69353D8986631401CCAF55BA0A45340D377C8DE9C6631408649021EA2A453406111AA71C266314060FD02EE77A453403E23111AC1663140,2,7,1830,449,418,27,46,292,4,107,1810,20,222,39,3,1,182,2,228,185,36,5155,4390,44965,14,12,15,408,96,
