name_of_the_slum,created_at,updated_at,the_geom,circle_number,ward_number,population,households,number_of_bpl_households,minority,caste_general,caste_sc,caste_st,caste_obc,literacy_literates,literacy_illiterates,tenure_patta,tenure_possession_certificate,tenure_private_land,tenure_public,tenure_rented,tenure_others,structure_pucca,structure_semipucca,structure_kuccha,avg_monthly_income,avg_monthly_expenditure,debts_outstanding,zerotoone_years_of_stay,onetothree_years_of_stay,threetofive_years_of_stay,morethanfive_years_of_stay,female_headed_households,age
Keshava Nagar,0050-08-11 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000007000000000000FE69A25340B2DCF7C0F07931400000004A69A2534032A0507DC47931400000001472A253405FCAD51A84793140000000927BA253403CFD72C382793140000000E681A253406AF83BE296793140000000F86FA2534004372D82FF793140000000FE69A25340B2DCF7C0F0793140,17,135,596,148,108,2,17,32,0,99,595,1,39,28,0,0,80,1,104,43,1,4752,6005,0,9,2,5,132,3,
Bhagath sing Nagar,0049-03-03 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C0000000000006C65A25340B6D4D1BAEC7931400000001265A25340F78B7783C8793140000000EA6EA25340F96326278C793140000000BA44A2534030E07E9E6A7931400000009041A253407D1ABF5F797931400000007E53A25340E185C63F9C793140000000464FA25340E37C16BCB57931400000001058A25340F7AAD64ADB7931400000001058A25340EAD93312EE793140000000945BA2534049A843CDF8793140000000B05DA25340A615FD50DF7931400000006C65A25340B6D4D1BAEC793140,17,135,1409,338,305,15,11,109,6,212,1317,92,28,196,15,1,97,1,168,128,42,5379,4366,3882,16,9,6,307,61,
Old Neredmet,0051-05-11 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F0000000000007052A253402DB12AB308793140000000E474A25340D2234549FB783140000000E474A25340558DBA37B87831400000009E6FA2534027EFC482B17831400000005270A25340AA187E0C9C783140000000E474A25340CD70875795783140000000E474A253407C93AE8A47783140000000586AA253402D71493346783140000000485CA25340452C0D974F783140000000565DA25340A50A7C7D767831400000009A55A253403BE1220094783140000000B05DA25340AA187E0C9C783140000000CA52A25340D72A1444C07831400000005A4AA253405C346205CF7831400000007052A253402DB12AB308793140,17,137,2954,784,671,78,109,164,11,500,2933,21,287,175,2,2,307,11,646,107,31,3703,3201,1511,12,10,1,761,120,
Tarakarama Nagar,0053-02-08 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000009000000804F7FFE8EA2534009011CE39C783140A0CFBC098FA25340D90FD54187783140B075FCE0A4A25340487172BC83783140B0757C9DA4A253406547C53B8A783140B0757C62A3A25340BC609C608D783140B0753CFDA2A25340AFB86298BF78314070A2C1EF99A253401929E099C0783140502284119AA25340D017DBBC9F783140804F7FFE8EA2534009011CE39C783140,17,135,453,110,95,7,10,63,2,35,325,128,2,79,0,1,28,0,10,99,1,4564,4150,52045,1,5,0,104,23,
Vinayak Nagar,0055-01-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F000000000DFBE78EA25340674DA20F9E78314050347F6780A2534045EE160E9D783140B02E03E97EA25340E5BA266DC5773140409DFBE69EA25340B4432300B6773140805ABCDE9BA253404FAB5C6E57773140C0177DC59AA253409DF564DCF8763140485303EEB5A253404A0305FFD77631409026FEC5BFA25340929DD04E7A773140B841FEE3CEA2534085B88B936F773140402BFE91D5A253405DD4B7CACA773140C014FE6FD9A253405C53E6072A7831403085FEC5BFA2534058CE44F95778314090F5FEE0A4A253405D81A79183783140C00C00E88EA253406CDFB39787783140000DFBE78EA25340674DA20F9E783140,17,136,13153,3516,2965,179,613,566,47,2290,12979,174,742,1352,9,14,1375,24,2549,862,105,3462,3002,4407,117,81,52,3266,585,
Ambedkar Nagar,0061-04-10 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000000000001903A3534059B3CB42CE7B31400000002C0EA3534005F4A3F7D47B31400000000D0FA35340B837686FB37B31400000002704A353406A274C69AF7B31400000001903A3534059B3CB42CE7B3140,17,135,707,180,108,54,16,40,3,121,648,59,25,87,2,0,64,2,119,59,2,6115,6417,572,13,7,2,158,23,
Sri Sai Nagar,0062-05-08 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000000000FA03A35340BC163E66AD7B31400000002C0EA353402A8A0918B27B3140000000E00EA353408DAB34EA937B31400000006205A35340F3169C868A7B3140000000FA03A35340BC163E66AD7B3140,17,135,1926,480,448,40,160,68,25,227,1864,62,94,100,23,2,244,17,262,199,19,3978,3330,19110,34,33,45,368,32,
Sri Sai Nagar,0063-07-09 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000000000003CEFA253409643D10BAA7B31400000007303A35340BC163E66AD7B31400000008104A353405F8AAA898C7B31400000001DF0A25340C2F9A3CB7F7B31400000003CEFA253409643D10BAA7B3140,17,135,678,187,133,8,56,22,6,103,665,13,17,40,13,2,112,3,127,60,0,3503,3005,615,10,23,9,145,40,
Madhura Nagar,0003-10-08 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000000000003DB2A25340A93C215CFE7A31400000000DB5A25340743361ADFB7A314000000094B5A253402BDE301A0B7B314000000018B9A25340F0C690710C7B314000000026BAA253402FC06BC4D27A314000000097B2A253400DEA1B70D37A31400000003DB2A25340A93C215CFE7A3140,17,135,310,71,66,1,10,5,1,55,220,90,1,43,0,0,26,1,30,40,1,5746,4977,18944,2,1,0,68,3,
Renuka Nagar,0002-12-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B000000B09B4EB8B9A2534059153B76EC7A314038E14BE2BCA253405EF90CF7EC7A314000E1C071BDA25340C8C299CDD87A314060E631D1C0A253400E979157D87A31404066045BC1A253401D1CAF2CCA7A3140201E0415BCA25340C6164000C27A3140D0DBFA44B9A25340E626073FB37A3140C808FBB8AEA25340EB217596B47A31408048019AAFA2534094092A70D37A3140881B0126BAA2534082925DC4D27A3140B09B4EB8B9A2534059153B76EC7A3140,17,135,1264,304,281,27,87,23,9,185,1047,217,27,158,2,0,114,3,222,39,43,5066,4640,49857,6,3,6,289,18,
Vinoba Nagar,0006-07-14 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C0000004066D4D6C0A253406DEEB477D87A3140F086D45DC1A253402DF3FF4CCA7A3140183C026ECCA25340A4918D0FCC7A314000BC04C8CCA253404283663AE87A3140B8360144C9A253404EFFC48EE77A314098B6039EC9A25340EE76205F007B314060F1FEECC5A25340EE76205F007B314060F1FEECC5A25340307580F5F27A3140F02BFFEFC2A2534024F921A1F37A3140D0AB014AC3A253405580B58BE57A3140C0EB0277C3A253407A8BEA21D87A31404066D4D6C0A253406DEEB477D87A3140,17,135,1013,280,250,19,40,32,10,198,1009,4,35,127,2,0,115,1,212,67,1,4608,3946,7036,0,0,0,280,10,
Ambedkar Nagar,0008-12-12 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C00000000000094239E5340F38AD9B37B543140000000EA369E53406CEAE696CD543140000000D42E9E53407BA4BAB9E1543140000000AA2B9E5340925197E7CA543140000000A5219E5340E31424DDC4543140000000F1209E53405FE9B8CBBA5431400000806F229E53404D2A13B5AD54314000000094239E53407914EF59AA543140000000B0259E5340E3D04EFBA454314000008023239E53402CEDAEDD935431400000006A209E534030EF89C38454314000000094239E5340F38AD9B37B543140,4,26,607,145,116,21,3,108,2,32,607,0,73,16,1,0,55,0,143,1,1,4131,3572,0,7,14,9,115,27,
Budaga Jangam Basthi,0010-11-11 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F00000000000009369E5340B91DB249D2543140000000B52F9E534001FF1262E054314000000080289E53409C50A8C7E954314000000064269E53401F3BA53EFD543140000080E5249E534006F40E080F55314000008004249E534041BF602721553140000080DF2A9E534055DB61DF28553140000000D42E9E53401C7E14E82D5531400000801F369E5340FB4584F233553140000000A63E9E5340FCD341AC3C55314000000073449E5340BF63C760425531400000005C4C9E5340DF1F2B724C553140000080614E9E53403594E84B3655314000000054459E53409FA5ECAC0B55314000000009369E5340B91DB249D2543140,4,26,900,183,100,58,1,77,9,96,899,1,122,1,0,0,60,0,87,93,3,3840,2912,0,0,18,4,161,57,
Mudiraj Nagar,0010-12-12 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000900000000000094239E534091A3318EC8543140000000502B9E53400F2C55E9CB5431400000004D2E9E53405ABBD063E154314000000053289E53400BA0EAC5E8543140000000B3229E534081AD23CBEB543140000080C11B9E534032BA0070E85431400000809A159E5340DF53856CE654314000000019179E534072275031C454314000000094239E534091A3318EC8543140,4,26,397,94,52,9,9,16,8,61,397,0,44,14,0,0,34,2,58,27,9,4852,3864,0,6,11,9,68,13,
Jangam Met,0014-03-11 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000060000000000005C1F9E53401CD3876375553140000000C71D9E5340A4868A7EB655314000000063369E534088399877B2553140000000152A9E5340B51A5B0F76553140000000CF249E534091F80D60735531400000005C1F9E53401CD3876375553140,4,26,1300,317,241,58,15,110,8,184,1298,2,122,31,24,2,135,3,223,87,7,3815,3550,9,5,13,7,292,57,
Veera Musti Huts,0016-09-08 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000800000000000047349E534051FD66BAA75531400000002D3F9E5340E222CE5BA2553140000000B43F9E5340644CFCD686553140000000873F9E5340CE5526526B553140000000F8379E5340E4B17FFA69553140000000F0309E534074AE3AB4725531400000007D2B9E534004A801677755314000000047349E534051FD66BAA7553140,4,26,313,83,54,0,51,27,5,0,262,51,83,0,0,0,0,0,79,4,0,4145,2843,0,14,2,1,66,80,
Old safilguda,0017-10-12 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000018000000580D44AA40A353408310D87D2378314020487F043DA35340EF9C89B0287831405045010D3CA353406DF8E5E51378314060CD02CC40A35340728A6DD609783140580982E53DA3534058A4B219FE773140504581153BA35340725A0D7DEB773140108800EE3CA35340B85767A3E8773140000BFC553EA353408F42E5A1E77731402053BC9043A35340E54D4EC0DF7731409018BCE746A3534097118A78E8773140F81DFD5A48A3534093A084D7EE773140806081BA4AA3534002DC9D41FC77314030E301DC4EA353403D7323B9F677314038A7821F4FA35340DDCA9CD90B7831404009C3D04EA353405458519617783140406BC32D4CA35340AEC2659919783140A8A07DA94CA35340589CF21835783140D0DD003C49A35340F035BBF237783140409B3CC345A353407E1EC4F2377831405818C1F844A35340FD39A20F2F783140D89202C943A353408E22D3322A783140185083FE42A35340C39B2C1726783140B8AE232342A3534075901A5C22783140580D44AA40A353408310D87D23783140,17,136,801,222,204,12,18,67,4,133,797,4,53,81,1,0,86,1,177,40,5,3872,3962,8752,4,1,4,213,83,
Nayak Nagar,0015-02-03 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000010000000000000873F9E5340E222CE5BA255314000000024489E5340E222CE5BA25531400000006D4A9E5340607BB7D2B5553140000000134A9E5340B78563FCCD553140000000B9499E5340E5C39322E455314000000045549E5340E5C39322E4553140000000995A9E5340D3A366CEE4553140000000885C9E53401BFD61519C553140000000BD639E534054475CE890553140000000965D9E534091F80D607355314000000034569E534079C0FC8D5C55314000000037539E53401CD38763755531400000006A4D9E5340E28AB4B774553140000000BC469E5340AD612EBB765531400000003B409E534017BB4E167A553140000000873F9E5340E222CE5BA2553140,4,26,2336,523,438,1,10,4,502,7,2261,75,379,4,4,2,129,5,265,246,12,3989,3490,0,10,12,6,495,73,
Shafi Nagar,0017-07-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D0000000000006F43A35340251FD65E4D773140000000D14AA35340C3518CBF547731400000003352A35340AB91F0614F7731400000004270A35340323C59C923773140000000726DA3534007449CB315773140000000FD5AA35340A3A4030B177731400000000058A35340FD53B7B617773140000000A954A353403798A51D237731400000006052A3534075C71959127731400000007240A353403F7BCD0413773140000000833EA3534041B739111B7731400000007240A3534089DD1894387731400000006F43A35340251FD65E4D773140,17,136,322,76,42,19,31,30,0,15,295,27,3,38,15,0,20,0,27,48,1,2541,2301,5789,7,1,4,64,16,
Hanuman Nagar,0018-12-12 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001600000000000000B2A3534084E53A1FD9753140000000C6A0A35340A200B52BE1753140000000509EA3534038337BF3F37531400000001093A353401C763FBB06763140000000328FA35340C2AD119CF27531400000003E83A353408C72300600763140000000827BA35340DD1EF4FFFB7531400000006C73A35340AADD201F10763140000000E068A353406C634B3E247631400000000265A35340723A4E700D763140000000385CA35340AADD201F10763140000000A44AA3534080452BA22D7631400000002047A35340DE71CAF9C0753140000000B458A3534026A28225A67531400000000265A3534026A28225A6753140000000486AA3534070CC229CBB7531400000002281A353408A2E4A06927531400000006E80A35340DFA251D471753140000000D087A3534065D1BD12637531400000007E8EA35340DCAF75578F7531400000002EA2A35340F585FD186775314000000000B2A3534084E53A1FD9753140,17,136,5589,1445,1124,289,484,197,37,727,5438,151,297,480,4,5,639,20,1088,349,8,3664,3113,2693,48,70,39,1288,81,
Panchalingal Basthi,0020-10-13 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B00000000000026289E5340C4E0A0C54256314000000053289E5340DED4ACF18D56314000000066339E53402D5651498F56314000000093339E534093B0232A7D56314000000025389E5340CA1308CF795631400000001C419E53401AABD0187356314000000095409E5340DC83335866563140000000873F9E53402C7FBD20465631400000004C3E9E5340D274670F3C5631400000002E2F9E5340E00935244856314000000026289E5340C4E0A0C542563140,4,42,512,129,111,86,89,3,1,36,508,4,9,1,21,0,98,0,108,21,0,3437,3669,0,3,0,1,125,39,
Old Moul-ali,0020-07-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B000000000000A0B7A353403550D48250763140000000CABAA3534080452BA22D7631400000004CB1A35340FF4D0ECEDB75314000000020A1A35340D08A5B89E6753140000000B89FA3534024B6E44AF57531400000001093A3534007E5E4180C763140000000D88EA35340C2AD119CF27531400000008A82A35340D703C7AEFE7531400000006CA0A35340855AC5D38476314000000098B0A353408E3B968287763140000000A0B7A353403550D48250763140,17,136,835,175,149,162,142,10,0,23,835,0,40,45,0,0,88,2,124,50,1,4285,4467,0,2,3,0,170,9,
chnadabagh,0018-03-02 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000004000000000000A6DEA35340E01A99F0AB7731400000006EDAA353406606FE547E773140000000E6E9A3534090802FF174773140000000A6DEA35340E01A99F0AB773140,17,136,301,64,55,19,18,35,0,11,297,4,8,37,0,0,19,0,20,43,1,4308,3286,9047,1,6,3,54,8,
Bodabanda,0019-07-11 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000006000000000000F0D0A35340E9A2659FAE7731400000008ADCA35340E9A2659FAE773140000000F8D7A35340C6F992DE687731400000009ED7A35340C00DA1681C77314000000042CAA3534021B36F171F773140000000F0D0A35340E9A2659FAE773140,17,136,259,62,43,26,12,6,2,42,257,2,20,19,2,11,9,1,21,15,26,2411,1960,16694,2,1,1,58,14,
M.G Nagar,0021-08-13 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C000000000000CABAA3534014616BE7837831400000008EC9A353402D7149334678314000000064C6A35340EC52EFA4E97731400000007EBBA3534053878602EF77314000000040BDA35340EF5343850C783140000000FAB7A3534000866F401778314000000084B5A35340C4562B0E2E78314000000000B2A3534009FB192D427831400000007CAEA353408060FF005D78314000000082A8A353404F10B55D997831400000004CB1A35340C19519B59A783140000000CABAA3534014616BE783783140,17,136,1616,425,347,49,83,115,43,184,1588,28,76,179,3,1,163,3,275,134,16,3314,3001,2077,32,6,5,382,22,
Kasturba Nagar,0023-01-11 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A00000000000001CFA353403320ED02357631400000008CE9A353408C7230060076314000000028D5A353409A093D38B2753140000000B2D2A35340D3F5E495B775314000000044D7A3534020A856BBCF7531400000004DCEA353403179D32EE3753140000000A4D1A35340AB7699F6F5753140000000FBD4A353402EE0C6150A763140000000D7CBA35340EF435B8C1F76314000000001CFA353403320ED0235763140,17,139,1010,243,153,85,92,23,9,119,1006,4,46,76,0,1,120,0,180,63,0,4626,3124,4188,8,7,1,227,12,
Gandhi Nagar,0022-10-07 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000070000000000006DF09D5340DED4ACF18D563140000000C0069E53408BFCEC3E8956314000000062199E534039519AF891563140000000CA1A9E5340718F0C673D56314000000094F69D53406EE0F3A22E56314000000040F09D53406D3C8769705631400000006DF09D5340DED4ACF18D563140,4,42,812,193,27,0,2,173,6,12,811,1,37,129,18,1,8,0,29,124,40,4061,3912,9074,3,0,0,190,17,
Talla Basthi,0024-10-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000A000000000000B7A1A25340D726A969BF743140000000A6A3A25340B96B1992A2743140000000BFA8A2534034CF7F6C8A7431400000009DACA25340045894A477743140000000ADBAA253402A0F33A440743140000000A1C6A25340CB06E5A4AE7431400000002EC1A25340CD5B3D12BE74314000000018B9A253403BA8DE56B374314000000094B5A25340576641E39F743140000000B7A1A25340D726A969BF743140,17,139,1189,320,239,13,34,210,5,71,1182,7,73,70,1,9,160,7,220,51,49,2986,2634,6984,16,26,8,270,24,
Sultan Bagh,0027-05-15 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000007000000000000B0259E5340516AFA6B38573140000000B1429E53408936FCCD3F57314000000024489E534062130ABFD3563140000000C92A9E5340B8F4D508CD563140000000422A9E5340CAF65AC10657314000000091269E5340A2C62C6D07573140000000B0259E5340516AFA6B38573140,4,42,717,189,166,4,23,5,9,152,717,0,20,0,22,0,147,0,100,88,1,3493,3735,0,0,1,0,188,19,
Pool Baug Chaman,0029-02-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000C00000000000032499E53404E418A8E4C573140000000DE429E534068F8882C4557314000000062469E53407683E5BD04573140000000D54B9E5340A2C62C6D07573140000000D54B9E534090E2A5D21057314000000039609E5340EF40F0E31A573140000000695D9E53406C341429435731400000000F5D9E5340B7C55C9C545731400000005E599E5340594C5CE880573140000000D7589E53404641E26C9C573140000000404A9E53404641E26C9C57314000000032499E53404E418A8E4C573140,4,26,624,152,138,1,11,3,0,138,624,0,23,2,35,0,92,0,101,51,0,4137,4532,0,2,0,0,150,18,
Upperguda,0026-12-02 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000E0000000000005E18A3534094897F737D7331400000006412A3534027BAA88C8D7331400000000A12A3534030371B10AB733140000000D20DA353402001569A03743140000000D6FAA253409B5E839436743140000000DCF4A25340B37B94681A7431400000001C00A3534028CD1130F6733140000000D6FAA25340347CD0FDD57331400000002EEEA2534016CDC68DFB7331400000008EE8A25340F2F51804DA733140000000C8F9A253401F7B89CBB57331400000007CFAA25340ADA0CCDD8A733140000000F2FCA25340A7753109707331400000005E18A3534094897F737D733140,17,139,658,173,171,25,87,27,38,21,637,21,26,113,0,4,30,0,138,35,0,3176,2072,9251,6,9,0,158,27,
Sanjay Gandhi Leprosy colony,0028-11-04 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000428C003C1CA35340F3846FAB6A733140DB7B027213A35340E98E93FC6773314038B900B011A353402B421CB137733140B06BFFF309A35340402ED40E3D7331408C23FF6105A353408ACB3327167331406EA301BC05A353400B43E4F4F57231405AF603A210A3534079BD4571D8723140428C003C1CA35340F3846FAB6A733140,17,139,739,204,201,72,32,136,1,35,588,151,79,105,0,0,17,3,202,2,0,4052,2871,30990,0,16,1,187,50,
S P Nagar,0027-11-04 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000B0000000000001EB3A25340C57ED0A59D7331400000006ECCA25340F9C93C9995733140000000F8C9A2534035BD9BFC67733140000000BACBA2534010E4C5AA33733140000000DCC7A253402B8FCC0E3D73314000000020C0A25340F6BD79A42F733140000000D2B3A25340DECDA9BD3F7331400000008CAEA253407B02876C427331400000002CB4A25340BDA905F05F7331400000007EADA25340AE753109707331400000001EB3A25340C57ED0A59D733140,17,137,1948,481,322,62,123,116,6,236,1780,168,91,213,11,2,147,17,293,182,6,4978,4326,33929,19,17,14,431,141,
Old Malkajgiri,0034-11-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F0000000000002A4DA2534092FAF55AA47331400000001058A25340127DF02E887331400000009A55A25340EF0C0A5469733140000000DA60A25340AECA008C567331400000002660A25340802DE19727733140000000FC89A25340BB69B58552733140000000CC8CA25340F8EC545A6D733140000000847AA25340127DF02E887331400000006878A253405D693EFD9E7331400000003C68A25340A21D6442CB733140000000E267A2534084088967AC733140000000CC5FA25340101A8803A3733140000000BE5EA25340876CD235C37331400000001058A253406D86F6EAC97331400000002A4DA2534092FAF55AA4733140,17,137,3285,911,667,108,169,40,7,695,3282,3,246,194,0,0,463,8,799,105,7,3681,2991,836,9,18,6,878,67,
Chinthal Basthi,0037-11-09 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000008000000000000C278A25340DECDA9BD3F733140000000CF89A25340BCB08F8250733140000000EB8BA25340279E800839733140000000568AA253403A2F5753327331400000003A88A25340C655D581197331400000006D82A253405F3944D91A7331400000009D7FA25340F6890EFF32733140000000C278A25340DECDA9BD3F733140,17,137,662,204,105,5,19,126,7,52,662,0,6,126,0,0,72,0,203,1,0,3634,3652,0,0,0,0,204,45,
Durga Nagar,0037-02-09 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000700000040A9FE2AC4A25340860407F8F7723140B85BFD44B9A25340860407F8F772314060DB04ADBAA25340905E1E7C72723140183C026ECCA253403A28BC5F607231409001026BCFA253404D42AF6097723140D0EEFBFDC3A25340533D1DB89872314040A9FE2AC4A25340860407F8F7723140,17,139,412,102,88,9,16,74,3,9,280,132,16,55,0,0,31,0,77,17,8,4066,3156,441,0,4,4,94,12,
Old Mirzalguda,0040-06-06 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001A000000A09D7D6609A25340B670908578723140A0D5FAF805A25340FAC59A377D723140C0CF034802A2534033A7CB6262723140A08703C101A25340CB4F2CFD5772314058028045FDA15340F77F4AAE25723140408282C900A2534003302B42177231402045BF3C02A2534013F112090E723140F807FCEA04A253402A1158880D72314000D07EC009A25340B45076D90A72314000DB7BEA0CA253401584A4860C72314040987C9E0DA2534067D3E61330723140A8A8FAE10DA253404EC5477336723140D0F0FAAE13A2534039CCC8612B72314080BA7BFA1AA2534095B772672172314028847CAE1BA253401E0C18D925723140D04D7DAE1BA2534032EB2DA22B7231408017FE971BA253402437BE7437723140D0AABFD51DA253409DEF007034723140183E017322A25340A214DDC534723140C8AEC18E28A2534066AEBD272F723140701F82EB29A25340B30B2DF738723140C000036A2BA2534084AF56434E723140D875C36D1CA2534042C7E6277372314060B043E713A253407509A61482723140F0EA83C810A25340B53693C86C723140A09D7D6609A25340B670908578723140,17,138,843,250,9,5,20,55,8,167,841,2,85,60,0,0,104,1,218,12,20,3552,2812,3724,5,5,1,239,59,
Lambadi Basthi,0042-11-15 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000050000000000001A99A25340B4D5AF8C6D713140000000D6A0A2534093BACBDD6A713140000000069EA25340FBD93D9B407131400000003998A253409112A553497131400000001A99A25340B4D5AF8C6D713140,17,139,177,40,40,0,1,3,36,0,113,64,2,36,0,0,1,1,3,36,1,4425,2338,31838,0,0,0,40,2,
J L N S Nagar,0049-07-05 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000F0000000000005C76A15340B6B46E813F7231400000000D7AA153402414680B617231400000009060A153400048CBEC837231400000002B5CA15340DB648B974D7231400000001257A153402EC0E54F56723140000000C954A15340E46DD5263C7231400000006450A153402EF4262D407231400000001B4EA15340D6CB1DB62A7231400000006B3AA15340109743434E723140000000F537A15340BEE664CF3A7231400000006F54A15340A6A3BF3811723140000000A758A15340F337078D10723140000000745EA153407FBCC939487231400000003273A153404F718E0D2C7231400000005C76A15340B6B46E813F723140,17,138,1524,373,232,34,36,151,6,180,1244,280,73,233,2,3,60,2,103,262,8,4299,4017,0,7,12,6,348,,
Ramanjaneya Nagar,0052-04-14 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000090000000000006E37A1534085F2457E3D7231400000003E3AA15340A0C8FBEE4E723140000000573FA153401C4C59E2467231400000001644A153406E222BE07B7231400000000339A15340FFF692FC8D723140000000CB34A15340E52C82216F723140000000F02DA1534083E2222E777231400000006C2AA153406E3EBD4C547231400000006E37A1534085F2457E3D723140,17,138,380,89,33,4,10,18,0,61,290,90,3,67,0,1,16,2,34,54,1,4244,3369,43489,1,1,2,85,24,
I.N Nagar,0053-01-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000001200000008B0FAE960A15340F70B4D4485723140F0E5048E80A1534003D4ED4F567231404049053E94A15340A4CFFD8B56733140A8FC848BA8A15340110963591E74314010B00499B1A1534071DF89240A743140E81604A4B5A15340499FC09C7274314090E4020AAAA1534020659CA477743140D87F00C6B1A15340A3CA9318C274314090FAFC41AEA15340BAA5B482CF74314060C902E493A1534076144AD35E74314030B9FF658AA153405932A6E4C5733140A098FE1D78A15340DE98B74D65733140C0D5011077A15340A4B259DC1C733140E04A021671A1534045EFF906CB723140707DFEFF68A153406FC769C2D5723140B03AFF9767A15340F22D839CBD7231407072016063A15340C85513E1B272314008B0FAE960A15340F70B4D4485723140,17,138,5366,1396,1114,100,164,412,20,800,4802,564,492,384,4,1,483,32,795,558,43,3984,3694,23183,43,19,21,1313,268,
Ekalavya nagar,0051-07-05 00:00:00.68-04:56:02,26:43.2,0106000020E61000000100000001030000000100000005000000000000D4B2A153404D388D31D274314000000042AEA15340EA7040B481743140000000A4B5A15340C4CEB6A7797431400000003EC1A153407E8215D403753140000000D4B2A153404D388D31D2743140,17,138,1528,385,308,30,79,54,177,75,1420,108,85,133,30,3,100,34,228,142,15,3789,3129,6247,19,22,9,335,195,
New srinagar colony,0055-06-03 00:00:00.68-04:56:02,26:43.2,0106000020E610000001000000010300000001000000060000000000009ED7A35340F6890EFF3273314000000033D9A35340068A6ADC1C733140000000B098A35340CB3DEAB49672314000000055A8A35340CA103CE8ED723140000000F2B0A35340D5C32BD2DF7231400000009ED7A35340F6890EFF32733140,17,139,887,202,154,84,102,19,8,73,849,38,99,0,0,0,101,2,194,8,0,3911,3795,9950,8,22,15,157,21,
"Turkapally,Bollaram",0015-07-07 00:00:00.68-04:56:02,26:43.2,0106000020E6100000010000000103000000010000000D0000000000004CE1A053406C9E9DFD5F8C31400000006810A153408F9435F5A68B31400000001824A15340E42C313B9C8B31400000001824A15340812BBD17BF8B3140000000B829A1534093D03DC6C18B31400000000C30A15340A671C02ECF8B31400000003039A153408F9435F5A68B31400000004C3BA15340908B413AD78B3140000000F834A1534061C23FDC0C8C31400000004047A15340774A1809688C3140000000BC43A153404A85329ED08C314000000080F8A0534069BDBE6A9C8D31400000004CE1A053406C9E9DFD5F8C3140,16,133,1246,334,296,17,26,154,2,152,1170,76,259,7,0,3,62,3,223,102,9,4190,3776,25455,111,19,24,180,78,
